Fighter Name,Fighter URL
Jessica-Rose Clark_Jessy Jess,http://www.fightmetric.com/fighter-details/6c8072b61c276e67
Kaline Medeiros_The Dark Angel,http://www.fightmetric.com/fighter-details/263af068bd986548
Akbarh Arreola_El Caballero,http://www.fightmetric.com/fighter-details/c136b2a8852da5bd
He-Man Gipson_,http://www.fightmetric.com/fighter-details/3e03cec9767d37e6
Clint Godfrey_,http://www.fightmetric.com/fighter-details/bd85ca0bb4f26cfc
Tim Hague_The Trashing Machine,http://www.fightmetric.com/fighter-details/219a254e15d60135
Dave Strasser_,http://www.fightmetric.com/fighter-details/980b4e712489098e
Eldo Xavier Dias_,http://www.fightmetric.com/fighter-details/ee5df903f80c6816
Brodie Farber_,http://www.fightmetric.com/fighter-details/91d73ee59347ac16
Kelly Faszholz_,http://www.fightmetric.com/fighter-details/9c42a0de8e012870
Wilson Gouveia_,http://www.fightmetric.com/fighter-details/af5b208e97f5d382
Nolan Ticman_,http://www.fightmetric.com/fighter-details/9eb069062a0cfc13
Fabiano Iha_,http://www.fightmetric.com/fighter-details/263ebd4a669e1e98
Royston Wee_,http://www.fightmetric.com/fighter-details/b9c03e7a4557e542
Matt Mitrione_,http://www.fightmetric.com/fighter-details/ba280572acfba13f
Richard Crunkilton_Cleat,http://www.fightmetric.com/fighter-details/22ee260735da0d58
CJ Hamilton_The Autobot,http://www.fightmetric.com/fighter-details/7da5839b223f3728
Ruben Villareal_Warpath,http://www.fightmetric.com/fighter-details/39f68882def7a507
Chris Honeycutt_The Cutt,http://www.fightmetric.com/fighter-details/4d2e3320d815f687
Cat Zingano_Alpha,http://www.fightmetric.com/fighter-details/3ecd936bd8814108
Devin Clark_Brown Bear,http://www.fightmetric.com/fighter-details/cc7040fe76f0ef91
Tony Martin_,http://www.fightmetric.com/fighter-details/5331b25a60417ffb
Artem Lobov_The Russian Hammer,http://www.fightmetric.com/fighter-details/02f2a9702ba3d167
Brandon Moreno_The Assassin Baby,http://www.fightmetric.com/fighter-details/792be9a24df82ed6
Katlyn Chookagian_Blonde Fighter,http://www.fightmetric.com/fighter-details/e872e9a9a902c045
Andrei Kopylov_,http://www.fightmetric.com/fighter-details/dd39f1ca787a3d9d
Alex Higley_,http://www.fightmetric.com/fighter-details/2af2d675f7d847e3
Colin Fletcher_The Freakshow,http://www.fightmetric.com/fighter-details/7d09200f6a77b20e
Collin Hart_,http://www.fightmetric.com/fighter-details/16bf6a73bdd302cd
Koji Oishi_,http://www.fightmetric.com/fighter-details/01daf32100ed7517
An Ying Wang_Smiley,http://www.fightmetric.com/fighter-details/69e8c632135af48b
Jeff Crotty_,http://www.fightmetric.com/fighter-details/98601a40e9d96047
Jan Nortje_The Giant,http://www.fightmetric.com/fighter-details/bd4389b71fdc0ce2
Artur Oumakhanov_,http://www.fightmetric.com/fighter-details/1ef0eae31904e534
Junior Albini_Baby,http://www.fightmetric.com/fighter-details/c482c8605455a213
Marcelo Guimaraes_Magrao,http://www.fightmetric.com/fighter-details/0c9c0a43d3f3f49d
Kristian Rothaermel_,http://www.fightmetric.com/fighter-details/af49a6c491ca22a3
Manny Tapia_The Mangler,http://www.fightmetric.com/fighter-details/0eec866a077889f0
Del Hawkins_The Filipino Delight,http://www.fightmetric.com/fighter-details/885e7f70dcac0007
Jason Suttie_Nobunaga,http://www.fightmetric.com/fighter-details/cc5834a495d1ea08
Dimitiri Wanderley_,http://www.fightmetric.com/fighter-details/a1d6b308781aa2f5
Yukiya Naito_,http://www.fightmetric.com/fighter-details/7be328bb3c2ea22e
James Giboo_,http://www.fightmetric.com/fighter-details/f74e037b97917027
John Lewis_,http://www.fightmetric.com/fighter-details/4a01dc8376736ef5
Houston Alexander_The Assassin,http://www.fightmetric.com/fighter-details/0541480fbf719d86
Philip De Fries_,http://www.fightmetric.com/fighter-details/6ef65b6a152e49d5
Romie Aram_,http://www.fightmetric.com/fighter-details/73ef22f25d0f70e2
Thomas Longacre_,http://www.fightmetric.com/fighter-details/989be26791d0aad4
Gabe Ruediger_Godzilla,http://www.fightmetric.com/fighter-details/ccba80d4820ef557
Mark Vorgeas_,http://www.fightmetric.com/fighter-details/ef0344ed552d8a22
David Kaplan_Diamond,http://www.fightmetric.com/fighter-details/5669b828e7e11329
Ralek Gracie_,http://www.fightmetric.com/fighter-details/84283233ec42be5f
Darren Uyenoyama_BC,http://www.fightmetric.com/fighter-details/6546af7ab545b90c
Leonardo Morales_Chimy,http://www.fightmetric.com/fighter-details/45230be0641f3f53
Vinc Pichel_From Hell,http://www.fightmetric.com/fighter-details/c77a953488e5607d
Carlos Zevallos_,http://www.fightmetric.com/fighter-details/cbf69fa846c7e3ee
