NAME_NICKNAME,RECORD,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Lorenzo Hood_The Samoan Silverback,9/4/2000,"6' 3""",265 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/7f9abc4db2d05764
Eun Soo Lee_,15-3-0 (1 NC),"6' 1""",215 lbs.,--,Orthodox,7-Mar-82,0,0%,3.05,60%,0,0%,50%,0,http://www.fightmetric.com/fighter-details/39c568f8c579913e
Frank Shamrock_,22-11-2,"5' 10""",185 lbs.,--,Orthodox,8-Dec-72,4.75,53%,4.66,57%,0.35,50%,37%,1.1,http://www.fightmetric.com/fighter-details/fcaae0385b514f11
Ryan Healy_The Irish Assassin,19-9-1,"6' 1""",155 lbs.,--,Orthodox,20-Jul-83,1.67,35%,3,38%,3,50%,40%,1,http://www.fightmetric.com/fighter-details/f3eb664db7fb1df3
Ryan Bader_Darth,23-5-0,"6' 2""",205 lbs.,"74""",Orthodox,7-Jun-83,2.82,43%,1.39,71%,3.37,44%,80%,0.4,http://www.fightmetric.com/fighter-details/c0ab242c40decc55
Marcos Bonilla_Murder Marx,4/4/2000,"5' 10""",145 lbs.,--,,--,0.47,12%,0.47,94%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/d311fbefff44a39b
Claude Patrick_The Prince,14-2-0,"5' 11""",170 lbs.,"75""",Orthodox,14-Jun-80,1.8,55%,0.89,69%,2.32,53%,84%,1.7,http://www.fightmetric.com/fighter-details/56116a79e4deed06
Javy Ayala_Eye Candy,10/5/2000,"6' 1""",265 lbs.,--,,20-Aug-88,0.83,25%,5,33%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/26387c19f32dda0f
Bradley Scott_Bear,12/5/2000,"6' 1""",185 lbs.,"76""",,24-Jun-89,3.45,42%,4.28,55%,0.38,15%,68%,0.8,http://www.fightmetric.com/fighter-details/34e552520a934063
Carlos Newton_The Ronin,16-14-0,"5' 9""",170 lbs.,--,Orthodox,17-Aug-76,0.65,41%,1.55,44%,2.47,70%,43%,0.9,http://www.fightmetric.com/fighter-details/952f6fa06f25a0ec
Masakazu Imanari_,24-9-2,"5' 4""",139 lbs.,--,Southpaw,10-Feb-76,0.55,30%,1.74,57%,0,0%,0%,2.1,http://www.fightmetric.com/fighter-details/a4dd5c9a75763295
Jess Bouscal_,3/2/2000,--,155 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/38b1417ec17072da
Jean Francois Lenogue_,15-14-3,"6' 0""",185 lbs.,--,Orthodox,29-Nov-72,1.13,34%,0.27,60%,0,0%,33%,0,http://www.fightmetric.com/fighter-details/e60201cfab7d656d
Sean Salmon_,18-17-0,"5' 10""",185 lbs.,--,Southpaw,11-Sep-77,1.49,33%,2.03,65%,4.06,50%,0%,0,http://www.fightmetric.com/fighter-details/7c0847d3854a95f2
Won Sik Park_Parky,9-3-1 (1 NC),"5' 11""",154 lbs.,--,Orthodox,--,2.6,43%,2.2,47%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/9df394db5ca103eb
Mike Malott_The Main Attraction,5/1/2001,"6' 0""",145 lbs.,--,,--,4.53,36%,4.53,51%,2,33%,0%,0,http://www.fightmetric.com/fighter-details/dd6103dd7127db1d
Roberto Sanchez_Little Fury,7/1/2000,"5' 6""",125 lbs.,"67""",Orthodox,5-Mar-86,0.51,33%,3.05,45%,3.81,100%,0%,0,http://www.fightmetric.com/fighter-details/546f8599a63c29da
Seth Kleinbeck_Mass Destruction,8/4/2000,"6' 2""",185 lbs.,--,,25-Jul-73,2.55,33%,2.42,40%,0.98,25%,90%,0,http://www.fightmetric.com/fighter-details/8ad022dd81224f61
Dave Herman_,21-6-0,"6' 4""",242 lbs.,"76""",Orthodox,3-Oct-84,4.98,60%,3.78,48%,1.49,100%,58%,0,http://www.fightmetric.com/fighter-details/cbd6f1abf955e628
Dan Severn_The Beast,100-18-7,"6' 2""",250 lbs.,--,Southpaw,8-Jun-58,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/c670aa48827d6be6
Bryce Mejia_,3/1/2000,"6' 1""",170 lbs.,--,,--,3.49,62%,6.98,50%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/6eae26c44e505775
Dominic Waters_Sho Nuff,9/5/2000,"6' 1""",170 lbs.,"79""",Orthodox,11-Apr-89,0.48,23%,2.53,39%,4.07,52%,28%,0,http://www.fightmetric.com/fighter-details/2de91c2244ad7e89
Conor McGregor_The Notorious,21-3-0,"5' 9""",170 lbs.,"74""",Southpaw,14-Jul-88,5.82,47%,4.55,57%,0.92,62%,73%,0,http://www.fightmetric.com/fighter-details/f4c49976c75c5ab2
John Albert_Prince,7/5/2000,"5' 8""",135 lbs.,"68""",,13-Oct-86,3.05,49%,2.82,35%,0,0%,50%,6.1,http://www.fightmetric.com/fighter-details/7bd94b60d7521e4a
Chase Beebe_,19-8-1,"5' 7""",135 lbs.,"67""",Orthodox,29-Mar-85,2.17,38%,1.64,69%,2.49,42%,41%,0.9,http://www.fightmetric.com/fighter-details/b16a7e6a627e9789
Wanderlei Silva_The Axe Murderer,35-12-1 (1 NC),"5' 11""",205 lbs.,"74""",Orthodox,3-Jul-76,2.79,40%,2.19,60%,0.97,53%,62%,0.6,http://www.fightmetric.com/fighter-details/a1f6999fe57236e0
Jeremy Hamilton_Hawk,8/1/2000,--,185 lbs.,--,,14-Nov-84,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/7ada6ea792a34424
Dan Hooker_The Hangman,16-7-0,"6' 0""",155 lbs.,"75""",Switch,13-Feb-90,3.71,42%,4.39,56%,0.58,42%,77%,0.4,http://www.fightmetric.com/fighter-details/193b9d1858bc4df3
Chance Farrar_,8-3-0 (1 NC),"5' 9""",145 lbs.,--,Southpaw,11-Sep-75,0.81,22%,2.21,67%,3.02,100%,0%,0,http://www.fightmetric.com/fighter-details/49c7236c737d7e59
Nate Moore_,7/3/2000,"6' 0""",170 lbs.,--,,--,2.21,25%,2.87,42%,1.23,16%,25%,0,http://www.fightmetric.com/fighter-details/518e5202a91980d4
Reese Andy_Riptide,7/3/2000,"6' 0""",205 lbs.,--,Orthodox,31-Mar-73,2.87,50%,3.5,58%,0.67,20%,40%,0,http://www.fightmetric.com/fighter-details/46e2ca71fd5089cb
Ryan Janes_,10/3/2000,"6' 3""",185 lbs.,"76""",Orthodox,22-Aug-81,7.69,48%,5.53,59%,0.35,100%,58%,0,http://www.fightmetric.com/fighter-details/b59037262c8fe060
Mads Burnell_,8/2/2000,"5' 8""",145 lbs.,"69""",Orthodox,6-Mar-94,0.87,33%,2.27,45%,0,0%,33%,0,http://www.fightmetric.com/fighter-details/69f01b25dfabaf6b
Charles Bennett_Krazy Horse,25-23-2,"5' 8""",155 lbs.,--,Orthodox,23-Nov-79,1.39,39%,1.35,64%,2.02,100%,36%,2,http://www.fightmetric.com/fighter-details/8dc4f34c1f50d00d
Edilberto de Oliveira_Crocota,20-8-2,"6' 0""",170 lbs.,--,Orthodox,22-Nov-82,4.12,32%,6.79,61%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/afdb76fbd86f6d11
Vincent Eazelle_The Real Deal,9/2/2000,"5' 11""",155 lbs.,--,,7-Dec-80,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/ec421d5de0aea624
Chad Robichaux_Robo,11/2/2000,"5' 4""",135 lbs.,--,,18-Aug-75,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/b2aa1e07b5b3306e
Mike Dolce_Skull Cracker,5/10/2000,"5' 11""",185 lbs.,--,,15-Apr-76,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/29b5791e51e7e832
David Branch_,21-4-0,"6' 1""",185 lbs.,"78""",Orthodox,26-Sep-81,1.65,40%,1.55,57%,2.25,34%,42%,0,http://www.fightmetric.com/fighter-details/d2c55d1d2e67773b
Lemont Davis_,2/5/2000,"5' 8""",170 lbs.,--,Orthodox,--,0.87,54%,1.27,55%,1,50%,0%,1,http://www.fightmetric.com/fighter-details/a993ef2dd36cea5f
