Date,Adj Close,Open,High,Low,Range,Volume,Unemp Claims,Ret Sales,Ind Prod,NFP,Direction
2/1/2010,1066.189941,1073.890015,1104.72998,1044.5,60.22998,25411190000,496000,308568,91.8988,129733,U
2/8/2010,1075.51001,1065.51001,1080.040039,1056.51001,23.530029,22017080000,466000,308568,91.8988,129733,U
2/15/2010,1109.170044,1079.130005,1112.420044,1079.130005,33.290039,16162900000,489000,308568,91.8988,129733,D
2/22/2010,1104.48999,1110,1112.290039,1086.02002,26.270019,20970170000,500000,308568,91.8988,129733,U
3/1/2010,1138.699951,1105.359985,1139.380005,1105.359985,34.02002,20011650000,488000,316150,92.5394,129897,U
3/8/2010,1149.98999,1138.400024,1153.410034,1134.900024,18.51001,24026590000,472000,316150,92.5394,129897,U
3/15/2010,1159.900024,1148.530029,1169.839966,1141.449951,28.390015,22944000000,478000,316150,92.5394,129897,U
3/22/2010,1166.589966,1157.25,1180.689941,1152.880005,27.809936,23756390000,472000,316150,92.5394,129897,U
3/29/2010,1178.099976,1167.709961,1181.430054,1165.77002,15.660034,16951790000,459000,316150,92.5394,129897,U
4/5/2010,1194.369995,1178.709961,1194.660034,1175.119995,19.540039,22307770000,479000,318437,92.928,130140,D
4/12/2010,1192.130005,1194.939941,1213.920044,1186.77002,27.150024,29874510000,479000,318437,92.928,130140,U
4/19/2010,1217.280029,1192.060059,1217.280029,1183.680054,33.599975,29000480000,469000,318437,92.928,130140,D
4/26/2010,1186.689941,1217.069946,1219.800049,1181.619995,38.180054,31552280000,449000,318437,92.928,130140,D
5/3/2010,1110.880005,1188.579956,1205.130005,1065.790039,139.339966,38419430000,451000,315608,94.3244,130664,U
5/10/2010,1135.680054,1122.27002,1173.569946,1122.27002,51.299926,28958750000,451000,315608,94.3244,130664,D
5/17/2010,1087.689941,1136.52002,1148.660034,1055.900024,92.76001,32640260000,474000,315608,94.3244,130664,U
5/24/2010,1089.410034,1084.780029,1103.52002,1040.780029,62.739991,27644340000,463000,315608,94.3244,130664,D
5/31/2010,1064.880005,1087.300049,1105.670044,1060.5,45.170044,21474390000,458000,315608,94.3244,130664,U
6/7/2010,1091.599976,1065.839966,1092.25,1042.170044,50.079956,26847570000,459000,314973,94.5056,130527,U
6/14/2010,1117.51001,1095,1121.01001,1089.030029,31.979981,23186040000,467000,314973,94.5056,130527,D
6/21/2010,1076.76001,1122.790039,1131.22998,1067.890015,63.339965,23498560000,452000,314973,94.5056,130527,D
6/28/2010,1022.580017,1077.5,1082.599976,1010.909973,71.690003,25504460000,464000,314973,94.5056,130527,U
7/5/2010,1077.959961,1028.089966,1078.160034,1018.349976,59.810058,17677490000,454000,315424,94.9417,130459,D
7/12/2010,1064.880005,1077.22998,1099.459961,1063.319946,36.140015,22438320000,439000,315424,94.9417,130459,U
7/19/2010,1102.660034,1066.849976,1103.72998,1056.880005,46.849975,22901430000,462000,315424,94.9417,130459,D
7/26/2010,1101.599976,1102.890015,1120.949951,1088.01001,32.939941,21356600000,465000,315424,94.9417,130459,U
8/2/2010,1121.640015,1107.530029,1128.75,1107.170044,21.579956,19817300000,476000,317103,95.3385,130423,D
8/9/2010,1079.25,1122.800049,1129.23999,1076.689941,52.550049,20320520000,483000,317103,95.3385,130423,D
8/16/2010,1071.689941,1077.48999,1100.140015,1063.910034,36.229981,18887030000,486000,317103,95.3385,130423,D
