Date,Open,High,Low,Close,Volume,Range,MA21,MA50,Engulf,Direction
11/6/2003,1051.810059,1058.939941,1046.930054,1058.050049,1453900000,12.009887,1044.634766,1030.642999,0,D
11/7/2003,1058.050049,1062.390015,1052.170044,1053.209961,1440500000,10.219971,1045.324289,1031.650398,0,D
11/10/2003,1053.209961,1053.650024,1045.579956,1047.109985,1243600000,8.070068,1045.755237,1032.432398,0,D
11/11/2003,1047.109985,1048.22998,1043.459961,1046.569946,1162500000,4.770019,1045.813331,1032.923997,0,U
11/12/2003,1046.569946,1059.099976,1046.569946,1058.530029,1349300000,12.53003,1046.244286,1033.569197,0,D
11/13/2003,1058.560059,1059.619995,1052.959961,1058.410034,1383000000,6.660034,1046.799049,1034.177998,0,D
11/14/2003,1058.410034,1063.650024,1048.109985,1050.349976,1356100000,15.540039,1046.812384,1034.757197,1,D
11/17/2003,1050.349976,1050.349976,1035.280029,1043.630005,1374300000,15.069947,1047.017625,1034.996997,0,D
11/18/2003,1043.630005,1048.77002,1034,1034.150024,1354300000,14.77002,1046.516195,1035.216598,0,U
11/19/2003,1034.150024,1043.949951,1034.150024,1042.439941,1326200000,9.799927,1046.345238,1035.846997,0,D
11/20/2003,1042.439941,1046.47998,1033.420044,1033.650024,1326700000,13.059936,1046.501907,1036.191598,1,U
11/21/2003,1033.650024,1037.569946,1031.199951,1035.280029,1273800000,6.369995,1046.573812,1036.524598,0,U
11/24/2003,1035.280029,1052.079956,1035.280029,1052.079956,1302800000,16.799927,1047.677141,1037.269998,0,U
11/25/2003,1052.079956,1058.050049,1049.310059,1053.890015,1333700000,8.73999,1048.760951,1037.761399,0,U
11/26/2003,1053.890015,1058.449951,1048.280029,1058.449951,1097700000,10.169922,1049.316185,1038.410999,1,D
11/28/2003,1058.449951,1060.630005,1056.77002,1058.199951,487220000,3.859985,1049.79666,1038.783398,0,U
12/1/2003,1058.199951,1070.469971,1058.199951,1070.119995,1375000000,12.27002,1050.900472,1039.459797,0,D
12/2/2003,1070.119995,1071.219971,1065.219971,1066.619995,1383200000,6,1051.658093,1040.335797,0,D
12/3/2003,1066.619995,1074.300049,1064.630005,1064.72998,1441700000,9.670044,1051.929995,1041.049796,1,U
12/4/2003,1064.72998,1070.369995,1063.150024,1069.719971,1463100000,7.219971,1052.71428,1042.256595,0,D
12/5/2003,1069.719971,1069.719971,1060.089966,1061.5,1265900000,9.630005,1053.175706,1043.421195,0,U
12/8/2003,1061.5,1069.589966,1060.930054,1069.300049,1218900000,8.659912,1053.71142,1044.870197,0,D
12/9/2003,1069.300049,1071.939941,1059.160034,1060.180054,1465500000,12.779907,1054.043329,1045.942197,1,D
12/10/2003,1060.180054,1063.02002,1053.410034,1059.050049,1444000000,9.609986,1054.611904,1047.203799,0,U
12/11/2003,1059.050049,1073.630005,1059.050049,1071.209961,1441100000,14.579956,1055.785238,1048.263599,0,U
12/12/2003,1071.209961,1074.76001,1067.640015,1074.140015,1223100000,7.119995,1056.52857,1049.341599,0,D
12/15/2003,1074.140015,1082.790039,1068,1068.040039,1520800000,14.790039,1056.987142,1050.1054,0,U
12/16/2003,1068.040039,1075.939941,1068.040039,1075.130005,1547900000,7.899902,1058.167143,1050.921001,0,U
12/17/2003,1075.130005,1076.540039,1071.140015,1076.47998,1441700000,5.400024,1059.731428,1051.665601,0,U
12/18/2003,1076.47998,1089.5,1076.47998,1089.180054,1579900000,13.02002,1062.351905,1052.773601,0,D
12/19/2003,1089.180054,1091.060059,1084.189941,1088.660034,1657300000,6.870118,1064.552862,1053.772202,0,U
12/22/2003,1088.660034,1092.939941,1086.140015,1092.939941,1251700000,6.799926,1067.376192,1054.8698,0,U
12/23/2003,1092.939941,1096.949951,1091.72998,1096.02002,1145300000,5.219971,1070.268572,1055.883201,0,D
12/24/2003,1096.02002,1096.400024,1092.72998,1094.040039,518060000,3.670044,1072.266671,1056.774402,0,U
12/26/2003,1094.040039,1098.469971,1094.040039,1095.890015,356070000,4.429932,1074.266671,1057.757002,0,U
12/29/2003,1095.890015,1109.47998,1095.890015,1109.47998,1058800000,13.589965,1076.696673,1058.945203,0,U
12/30/2003,1109.47998,1109.75,1106.410034,1109.640015,1012600000,3.339966,1079.1462,1060.351604,0,U
12/31/2003,1109.640015,1112.560059,1106.209961,1111.920044,1027500000,6.350098,1081.136678,1061.696404,1,D
